date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-18 16:40:00,1674027600,21274.338,21291.438,21264.719,21283.838,210,2424,0
2023-01-18 16:50:00,1674028200,21283.838,21306.538,21283.838,21304.138,169,2424,0
2023-01-18 17:00:00,1674028800,21306.538,21316.838,21276.808,21289.538,199,2424,0
2023-01-18 17:10:00,1674029400,21289.538,21292.138,21248.938,21254.928,280,2424,0
2023-01-18 17:20:00,1674030000,21254.946,21271.738,21212.782,21229.338,354,2424,0
2023-01-18 17:30:00,1674030600,21229.338,21253.738,21208.038,21245.838,288,2424,0
2023-01-18 17:40:00,1674031200,21245.838,21262.438,21238.838,21259.643,163,2424,0
2023-01-18 17:50:00,1674031800,21259.211,21259.738,21216.438,21244.738,216,2424,0
2023-01-18 18:00:00,1674032400,21244.738,21249.138,21156.053,21239.438,382,2424,0
2023-01-18 18:10:00,1674033000,21239.438,21256.938,21221.138,21256.938,315,2424,0
2023-01-18 18:20:00,1674033600,21256.938,21278.538,21247.138,21251.238,270,2424,0
2023-01-18 18:30:00,1674034200,21251.238,21253.738,21195.438,21201.638,277,2424,0
2023-01-18 18:40:00,1674034800,21201.638,21219.838,21175.038,21218.738,347,2424,0
2023-01-18 18:50:00,1674035400,21218.738,21231.038,21203.938,21226.338,234,2424,0
2023-01-18 19:00:00,1674036000,21226.338,21238.338,21203.538,21234.938,199,2424,0
2023-01-18 19:10:00,1674036600,21236.638,21244.538,21215.238,21242.45,190,2424,0
2023-01-18 19:20:00,1674037200,21242.338,21251.738,21227.647,21235.838,153,2424,0
2023-01-18 19:30:00,1674037800,21235.838,21236.838,21196.238,21197.238,199,2424,0
2023-01-18 19:40:00,1674038400,21196.61,21203.438,21182.238,21202.238,232,2424,0
2023-01-18 19:50:00,1674039000,21203.938,21203.938,21161.438,21178.838,215,2424,0
2023-01-18 20:00:00,1674039600,21178.838,21197.738,21169.338,21191.838,161,2424,0
2023-01-18 20:10:00,1674040200,21191.838,21218.738,21190.728,21206.338,159,2424,0
2023-01-18 20:20:00,1674040800,21206.338,21210.338,21182.438,21209.338,186,2424,0
2023-01-18 20:30:00,1674041400,21207.805,21224.738,21192.838,21220.938,146,2424,0
2023-01-18 20:40:00,1674042000,21220.938,21234.738,21194.038,21203.438,175,2424,0
2023-01-18 20:50:00,1674042600,21203.438,21218.738,21199.667,21200.438,147,2424,0
2023-01-18 21:00:00,1674043200,21200.438,21217.338,21200.438,21201.738,124,2424,0
2023-01-18 21:10:00,1674043800,21201.738,21245.638,21201.338,21244.188,169,2424,0
2023-01-18 21:20:00,1674044400,21242.138,21242.138,21218.938,21227.538,146,2424,0
2023-01-18 21:30:00,1674045000,21227.538,21238.538,21221.638,21238.538,115,2424,0
2023-01-18 21:40:00,1674045600,21238.738,21268.038,21229.538,21257.938,178,2424,0
2023-01-18 21:50:00,1674046200,21257.938,21291.738,21255.838,21256.738,256,2424,0
2023-01-18 22:00:00,1674046800,21256.738,21297.738,21256.738,21287.038,246,2424,0
2023-01-18 22:10:00,1674047400,21287.038,21296.938,21263.438,21265.938,215,2424,0
2023-01-18 22:20:00,1674048000,21265.938,21273.738,21248.438,21252.838,225,2424,0
2023-01-18 22:30:00,1674048600,21255.538,21398.738,21203.438,21283.038,824,2424,0
2023-01-18 22:40:00,1674049200,21284.238,21467.638,21280.754,21407.838,673,2424,0
2023-01-18 22:50:00,1674049800,21409.638,21455.038,21396.038,21399.973,662,2424,0
2023-01-18 23:00:00,1674050400,21399.938,21569.538,21367.438,21535.938,703,2424,0
2023-01-18 23:10:00,1674051000,21530.938,21565.938,21486.338,21561.138,674,2424,0
2023-01-18 23:20:00,1674051600,21563.738,21662.838,21343.738,21397.738,874,2424,0
2023-01-18 23:30:00,1674052200,21399.738,21456.638,21311.538,21350.738,831,2424,0
2023-01-18 23:40:00,1674052800,21351.038,21428.838,21327.638,21416.048,737,2424,0
